StationName,Line,Department,Station,Workstation,Long,Lat
T7A002E,7A,T,002,E,-83.162766,42.310468
T7A002W,7A,T,002,W,-83.162847,42.310448
T7A003E,7A,T,003,E,-83.162731,42.310420
T7A003W,7A,T,003,W,-83.162812,42.310399
T7A004E,7A,T,004,E,-83.162676,42.310379
T7A004W,7A,T,004,W,-83.162777,42.310351
T7A005E,7A,T,005,E,-83.162664,42.310326
T7A005W,7A,T,005,W,-83.162744,42.310305
T7A006E,7A,T,006,E,-83.162632,42.310282
T7A006W,7A,T,006,W,-83.162712,42.310261
T7A007E,7A,T,007,E,-83.162600,42.310239
T7A007W,7A,T,007,W,-83.162681,42.310218
T7A008E,7A,T,008,E,-83.162569,42.310195
T7A008W,7A,T,008,W,-83.162649,42.310174
T7A009E,7A,T,009,E,-83.162537,42.310152
T7A009W,7A,T,009,W,-83.162617,42.310131
T7A010E,7A,T,010,E,-83.162506,42.310108
T7A010W,7A,T,010,W,-83.162586,42.310087
T7A011E,7A,T,011,E,-83.162474,42.310065
T7A011W,7A,T,011,W,-83.162554,42.310044
T7A012E,7A,T,012,E,-83.162443,42.310021
T7A012W,7A,T,012,W,-83.162523,42.310001
T7A013E,7A,T,013,E,-83.162411,42.309978
T7A013W,7A,T,013,W,-83.162491,42.309957
T7A014E,7A,T,014,E,-83.162380,42.309935
T7A014W,7A,T,014,W,-83.162460,42.309914
T7A015E,7A,T,015,E,-83.162348,42.309891
T7A015W,7A,T,015,W,-83.162428,42.309870
T7A016E,7A,T,016,E,-83.162316,42.309848
T7A016W,7A,T,016,W,-83.162397,42.309827
T7A017E,7A,T,017,E,-83.162285,42.309804
T7A017W,7A,T,017,W,-83.162365,42.309783
T7A018E,7A,T,018,E,-83.162253,42.309761
T7A018W,7A,T,018,W,-83.162333,42.309740
T7A019E,7A,T,019,E,-83.162222,42.309717
T7A019W,7A,T,019,W,-83.162302,42.309696
T7A020E,7A,T,020,E,-83.162190,42.309674
T7A020W,7A,T,020,W,-83.162270,42.309653
T7A021E,7A,T,021,E,-83.162159,42.309630
T7A021W,7A,T,021,W,-83.162239,42.309609
T8A001E,8A,T,001,E,-83.161848,42.309197
T8A001W,8A,T,001,W,-83.161940,42.309160
T8A002E,8A,T,002,E,-83.161802,42.309134
T8A002W,8A,T,002,W,-83.161894,42.309098
T8A003E,8A,T,003,E,-83.161757,42.309072
T8A003W,8A,T,003,W,-83.161849,42.309035
T8A004E,8A,T,004,E,-83.161711,42.309009
T8A004W,8A,T,004,W,-83.161803,42.308972
T8A005E,8A,T,005,E,-83.161665,42.308946
T8A005W,8A,T,005,W,-83.161757,42.308909
CPD001W,PD,C,001,W,-83.161210,42.307018
CPD002W,PD,C,002,W,-83.161193,42.306993
CPD003W,PD,C,003,W,-83.161228,42.307042
CPD004W,PD,C,004,W,-83.161245,42.307066
CPD005W,PD,C,005,W,-83.161263,42.307090
CPD006W,PD,C,006,W,-83.161280,42.307114
CFR001S,1A,C,001,S,-83.160662,42.306484
CFR005E,FR,C,005,E,-83.161175,42.307153
